user_identities.identity,articles_viewed_per_user,streams_added_per_user,session_id_per_user,push_enabled_user
01d174e536534c92af08e6f6794467a2,10,5,11,0
01d200012ea44ee1b1072e12b15bc5c4,3,8,3,0
01d23d931df249f2a8a8472a89ec15fe,6,19,6,0
01d5f7d1c15c49489c07188461140d27,4,31,10,0
01d7a1c11b704b74bfbac5f01bfa7ad1,28,508,32,1
01da3bc4b0264f29b1917b59f6926bd2,4,13,4,0
01da8eb9a56b40feb4da43a7d0d99c54,13,413,29,0
01dae757ae9d46b3bc33852485f67dbf,7,347,20,0
01db083fb8234c76a16631a09f70b36b,6,39,7,0
01db5969b76d45dd946968cc5156c404,21,96,50,0
01dccdae5f174d6290e59b640f956b52,2,5,2,0
01de8ec537fb48dfab74ee666a895957,2,10,7,0
01e793d290d2423ebc0061f0a51d818e,1,740,20,0
01eb7df1a90d49c59b1c6cffdbc5e639,4,8,8,0
01ebdf1ae4a24115853bf6d8d016c549,4,13,1,0
01ee740d64f441cbb20f9f0078499cd1,4,31,8,0
01ef1c6e91064b6190f033f4fef65e0b,1,4,12,0
01f4ec0c100b481187c973afd8d6bcb4,13,150,7,0
01f7fcb7c044426a84ce5345d5c39775,2,57,16,0
01fbb01a05894ea8b1797fb59ea606b1,3,12,2,0
01ffa9c5877b4688a4399cbde4168f78,29,215,34,0
01ffd5aa9fff4dfbb083398b621381dc,2,7,8,0
0202d5740024419988d1d02b946fd290,4,17,4,0
02054583e900491bb4b3c295496a03ec,10,6,16,0
02081a6782aa4d7aa7a862c1852376b2,4,11,1,0
020c6226d74c4bdd8c7117147a76bd26,5,31,10,0
020e6c3c91314dcc810b71b181ff8a33,1,12,6,0
02111cd3e40843e7b450e051352d9315,6,62,22,0
02133929e5764739b22b3027d6c3c2fe,1,14,2,0
02146c7be09140958aca1e3791671898,1,17,3,1
021709f8afed471197e69c7369ac4b7c,1,1,3,0
021ab74bc5fd499bb83fd2b719a17631,1,34,2,1
021b0cefde684b75b0d0fe225067ec04,8,6,5,0
021bd46c2b2548cfac6dac4ad218ea96,1,4,2,0
021c07bce74341708be33621209e61ce,1,65,2,0
021c7b151a904eca93b14b8e29f713de,4,34,9,0
021cb2d073f64fb3ba87584a181c234d,1,8,3,1
021e9b1f23774401a8baf835d347b50a,2,5,3,0
